iter	Passed	Remaining
668	5401	2672
669	5404	2661
670	5410	2652
671	5413	2642
672	5417	2632
673	5421	2622
674	5429	2614
675	5432	2603
676	5435	2593
677	5445	2586
678	5448	2575
679	5451	2565
680	5460	2558
681	5465	2548
682	5468	2538
683	5473	2528
684	5477	2518
685	5486	2511
686	5491	2501
687	5494	2491
688	5503	2484
689	5506	2474
690	5510	2464
691	5517	2455
692	5520	2445
693	5524	2435
694	5532	2427
695	5536	2418
696	5547	2411
697	5555	2403
698	5564	2396
699	5580	2391
700	5585	2382
701	5592	2374
702	5599	2365
703	5606	2357
704	5612	2348
705	5645	2351
706	5665	2348
707	5677	2341
708	5680	2331
709	5690	2324
710	5693	2314
711	5701	2306
712	5706	2296
713	5710	2287
714	5720	2280
715	5724	2270
716	5728	2261
717	5735	2252
718	5738	2242
719	5742	2233
720	5752	2226
721	5758	2217
722	5766	2209
723	5770	2199
724	5780	2192
725	5788	2184
726	5798	2177
727	5802	2167
728	5816	2162
729	5821	2153
730	5829	2145
731	5835	2136
732	5842	2128
733	5846	2118
734	5852	2109
735	5864	2103
736	5867	2093
737	5875	2085
738	5878	2076
739	5882	2066
740	5888	2058
741	5892	2048
742	5896	2039
743	5900	2030
744	5905	2021
745	5909	2011
746	5911	2002
747	5918	1993
748	5921	1984
749	5924	1974
750	5931	1966
751	5934	1957
752	5937	1947
753	5940	1938
754	5948	1930
755	5951	1920
756	5954	1911
757	5958	1902
758	5961	1893
759	5964	1883
760	5968	1874
761	5978	1867
762	5983	1858
763	5998	1852
764	6010	1846
765	6024	1840
766	6033	1832
767	6046	1826
768	6064	1821
769	6076	1815
770	6092	1809
771	6108	1804
772	6123	1798
773	6128	1789
774	6136	1781
775	6140	1772
776	6143	1763
777	6150	1754
778	6153	1745
779	6157	1736
780	6164	1728
781	6169	1719
782	6172	1710
783	6175	1701
784	6202	1698
785	6217	1692
786	6222	1684
787	6231	1676
788	6235	1667
789	6238	1658
790	6241	1649
791	6245	1640
792	6252	1632
793	6259	1623
794	6262	1614
795	6266	1605
796	6275	1598
797	6279	1589
798	6283	1580
799	6287	1571
800	6290	1562
801	6293	1553
802	6300	1545
803	6304	1536
804	6307	1527
805	6317	1520
806	6320	1511
807	6323	1502
808	6329	1494
809	6333	1485
810	6336	1476
811	6339	1467
812	6345	1459
813	6348	1450
814	6351	1441
815	6354	1432
816	6361	1424
817	6365	1416
818	6368	1407
819	6373	1399
820	6376	1390
821	6380	1381
822	6383	1372
823	6389	1364
824	6394	1356
825	6397	1347
826	6407	1340
827	6410	1331
828	6413	1323
829	6420	1315
830	6423	1306
831	6426	1297
832	6429	1288
833	6436	1281
834	6439	1272
835	6441	1263
836	6444	1255
837	6453	1247
838	6456	1238
839	6459	1230
840	6466	1222
841	6470	1214
842	6473	1205
843	6476	1197
844	6481	1188
845	6485	1180
846	6493	1172
847	6499	1165
848	6502	1156
849	6510	1148
850	6512	1140
851	6515	1131
852	6519	1123
853	6522	1115
854	6527	1106
855	6537	1099
856	6541	1091
857	6546	1083
858	6549	1075
859	6553	1066
860	6556	1058
861	6562	1050
862	6565	1042
863	6569	1034
864	6571	1025
865	6579	1018
866	6584	1010
867	6588	1001
868	6595	994
869	6600	986
870	6603	978
871	6610	970
872	6614	962
873	6617	954
874	6623	946
875	6627	938
876	6630	929
877	6633	921
878	6640	914
879	6643	905
880	6646	897
881	6648	889
882	6655	881
883	6658	873
884	6663	865
885	6671	858
886	6674	850
887	6678	842
888	6684	834
889	6687	826
890	6690	818
891	6693	810
892	6699	802
893	6702	794
894	6705	786
895	6708	778
896	6715	771
897	6719	763
898	6722	755
899	6725	747
900	6732	739
901	6735	731
902	6737	723
903	6740	715
904	6747	708
905	6749	700
906	6752	692
907	6756	684
908	6764	677
909	6767	669
910	6771	661
911	6778	654
912	6781	646
913	6784	638
914	6790	630
915	6793	623
916	6796	615
917	6799	607
918	6802	599
919	6806	591
920	6809	584
921	6812	576
922	6818	568
923	6821	561
924	6824	553
925	6827	545
926	6832	538
927	6836	530
928	6839	522
929	6843	515
930	6850	507
931	6854	500
932	6857	492
933	6861	484
934	6865	477
935	6869	469
936	6873	462
937	6882	454
938	6887	447
939	6894	440
940	6901	432
941	6914	425
942	6918	418
943	6921	410
944	6925	403
945	6927	395
946	6930	387
947	6933	380
948	6937	372
949	6940	365
950	6944	357
951	6952	350
952	6955	343
953	6959	335
954	6966	328
955	6970	320
956	6973	313
957	6982	306
958	6985	298
959	6988	291
960	6996	283
961	6999	276
962	7002	269
963	7005	261
964	7013	254
965	7016	246
966	7019	239
967	7027	232
968	7033	225
969	7050	218
970	7064	210
971	7075	203
972	7078	196
973	7081	189
974	7084	181
975	7088	174
976	7091	166
977	7094	159
978	7097	152
979	7100	144
980	7104	137
981	7126	130
982	7130	123
983	7137	116
984	7140	108
985	7143	101
986	7145	94
987	7151	86
988	7154	79
989	7157	72
990	7160	65
991	7168	57
992	7171	50
993	7174	43
994	7176	36
995	7183	28
996	7185	21
997	7188	14
998	7191	7
999	7196	0
